Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,distribution losses ,Asia & Oceania,0.06594,0.06944,0.06664,0.07,0.07133,0.07238,0.07945,0.08526,0.0756,0.07623,0.07686,0.06923,0.04795,0.04739,0.04683,0.04256,0.03843,0.03493,0.0322,0.03185,0.125,0.125,0.13,0.15,0.15,0.15,0.2,0.21,0.2,0.22,0.304,0.404,0.404,0.49,0.52,0.522,0.59,0.615,0.64,0.67,0.67,0.666853647
Albania,distribution losses ,Europe,0.161,0.161,0.161,0.16,0.16,0.161,0.162,0.162,0.173,0.219,1.687,1.278,1.411,1.655,1.843,2.283,2.887,2.913,3.189,2.213,2.073,1.889,1.297,2.091,1.968,0.628,2.489,2.085,1.19884,1.25041,1.12132,1.07628,1.1193,1.95349,1.11907,1.25,1.9859,1.276047,1.1557,1.08183,0.93263,0.999072126
Algeria,distribution losses ,Africa,0.777,0.954,1.065,1.39,1.649,1.846,1.854,1.845,2.135,2.2,2.313,2.624,2.228,3.029,3.214,3.34,3.815,4.373,4.581,4.73,4.105,4.337,4.346,4.209,4.976,4.475,6.295,6.647,7.287,7.859,9.091,9.899,11.068,11.023,11.003,11.196,10.682,10.869,9.904,9.897,8.98001,8.770749362
American Samoa,distribution losses ,Asia & Oceania,0.0049,0.00469,0.00469,0.00497,0.00483,0.00581,0.00525,0.00567,0.00637,0.0063,0.00658,0.00714,0.00714,0.00805,0.00854,0.00903,0.00938,0.00987,0.01029,0.01064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.01355,0.014069313
Angola,distribution losses ,Africa,0.169,0.169,0.18,0.196,0.168,0.202,0.202,0.203,0.204,0.205,0.211,0.267,0.27,0.27,0.271,0.273,0.292,0.115,0.192,0.194,0.211,0.238,0.258,0.288,0.59,0.662,0.39,0.431,0.416,0.474,0.627,0.637,0.699,0.926,1.068,1.078,1.167,1.207373,1.447861,1.741409,1.845236,1.868901294
Antarctica,distribution losses ,Central & South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014,0.00014,0.00014,0.00014,0.00028,0.00028,0.00028,3.5e-05,3.5e-05,3.5e-05,7e-05,7e-05,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,distribution losses ,Central & South America,0.00392,0.00413,0.00434,0.00476,0.00497,0.00504,0.00567,0.00595,0.00602,0.00616,0.00623,0.00623,0.00623,0.00623,0.00637,0.00644,0.00644,0.00651,0.00665,0.00665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.065,0.065,0.065
Argentina,distribution losses ,Central & South America,5.035,4.918,5.128,6.151,6.279,6.314,8.176,8.199,7.327,8.629,9.292,10.153,11.397,12.479,11.56,11.863,12.212,11.758,11.223,11.932,13.188,12.847,14.501,14.049,15.445,15.956,14.575,17.957,16.274,17.98,16.817,18.701,18.445,22.278,17.808,17.872,20.432,22.985,23.676,20.862,20.74,22.328
Armenia,distribution losses ,Eurasia,,,,,,,,,,,,,2.53,2.39,2.241,2.195,2.349,1.251,1.764,1.437,1.512,1.502,1.414,1.24,0.956,1.001,0.779,0.7754,0.892,0.843,0.73,0.904,0.981,0.949,0.929,0.812,0.706,0.668,0.611,0.548,0.565,0.565
Aruba,distribution losses ,Central & South America,,,,,,,0.01918,0.02093,0.02156,0.02338,0.02226,0.02233,0.02247,0.03493,0.0371,0.04053,0.04221,0.04445,0.04802,0.04858,0.078,0.1347,0.1319,0.1402,0.136,0.1512,0.1479,0.1549,0.1493,0.1504,0.1507,0.1587,0.1484,0.1488,0.1377,0.1532,0.158,0.165,0.166,0.158,0.16,0.16
Australia,distribution losses ,Asia & Oceania,9.166,11.194,8.38,8.457,8.17,10.536,9.303,10.273,9.999,11.102,10.783,10.371,10.626,10.658,10.866,11.507,11.522,11.633,13.322,15.453,14.98,18.151,15.062,11.25,11.644,15.352,15.699,14.618,14.811,12.027,14.483,14.837,12.918,11.99,9.252,11.707,14.149,11.239891,11.346497,10.960147,11.173536,9.3000311
Austria,distribution losses ,Europe,2.628,2.717,2.647,2.53,2.612,2.754,2.811,2.857,2.824,2.769,2.965,3.03,2.914,3.171,3.059,3.328,3.246,3.185,3.34,3.38,3.216,3.705,3.184,3.307,3.427,3.432,3.349,3.473,3.448,3.582,3.350899,3.470055,3.528233,3.541171,3.409874,3.466995,3.339002,3.459036,3.3359859,3.3045379,3.191822,3.2357993
Azerbaijan,distribution losses ,Eurasia,,,,,,,,,,,,,2.786,3.8,2.305,2.776,2.721,3.108,2.153,2.788,2.77,2.56,3.814,3.459,2.762,4.031,3.775,3.432,3.163,4.1,3.83,3.973,3.368,3.281,3.363,2.869,2.35,2.251,2.2198,2.226,2.042,0.16
Bahrain,distribution losses ,Middle East,0.10878,0.11893,0.13167,0.14581,0.094,0.208,0.211,0.288,0.208,0.201,0.242,0.157,0.196,0.201,0.164,0.062,0.216,0.085,0.46,0.393,0.557,0.589,0.543,0.303,0.676,0.411,0.431,0.408,1.938,2.038,1.614,0.484,0.494,0.517,0.569,0.604,0.597,0.632,0.54,0.611,0.6,0.595640644
Bangladesh,distribution losses ,Asia & Oceania,0.831,0.795,0.868,0.896,1.099,1.487,1.265,1.818,2.367,2.021,2.596,2.946,2.371,1.792,1.771,1.796,1.834,1.795,1.986,2.286,2.417,2.413,2.372,2.271,2.038,1.966,1.778,1.602,4.293,4.214,4.325,4.528,5.79,7.031,6.819,10.714,10.521,11.412782,12.76803,9.534778,9.423836,9.44584131
Barbados,distribution losses ,Central & South America,0.05,0.062,0.055,0.089,0.055,0.055,0.058,0.036,0.038,0.039,0.044,0.039,0.032,0.044,0.044,0.05,0.047,0.051,0.057,0.056,0.055,0.061,0.057,0.058,0.06,0.062,0.063,0.065,0.043,0.045,0.051,0.068,0.043,0.043,0.048,0.02,0.021,0.021,0.02,0.06589,0.066,0.064817344
Belarus,distribution losses ,Eurasia,,,,,,,,,,,,,3.125,4.047,3.837,3.636,3.757,3.801,3.796,3.544,3.41,3.455,3.406,3.45,3.578,3.634,3.841,3.724,3.714,3.487,3.774,3.412,3.406,3.342,3.187,2.916,2.876,2.872,2.835,2.711,2.736,2.734984716
Belgium,distribution losses ,Europe,2.757,2.634,2.676,2.678,2.876,3.029,3.065,3.242,3.249,3.325,3.604,3.505,3.537,3.673,3.57,3.673,3.834,3.691,3.839,4.126,3.789,3.886,3.772,3.757,3.751,3.856,3.965,3.972,4.021,3.937,4.149,3.964,4.114,3.957,3.785,3.816,3.881,3.8493,3.7817,3.5902,3.4549,3.5741
Belize,distribution losses ,Central & South America,0.00637,0.00644,0.00651,0.00665,0.00721,0.00749,0.0077,0.00805,0.00875,0.00903,0.00994,0.01106,0.01204,0.01316,0.01225,0.01274,0.01302,0.014,0.013454,0.014084,0.031,0.037,0.036,0.04,0.048,0.054,0.058,0.057,0.057,0.055441111,0.057041111,0.038157308,0.041633633,0.049770892,0.06504,0.06859,0.06805,0.0636,0.06511,0.06887,0.06887,0.06887
Benin,distribution losses ,Africa,0.021,0.026,0.016,0.032,0.028,0.03,0.03,0.039,0.044,0.04,0.043,0.049,0.032,0.043,0.038,0.042,0.04,0.042,0.044,0.053,0.059,0.087,0.098,0.107,0.114,0.113,0.126,0.125,0.14,0.208,0.207,0.204,0.212,0.229,0.232,0.277,0.288,0.297,0.295489,0.363,0.346,0.361714286
